message,label
Can you call me back when you're free? Please respond.,ham
Don't forget the meeting at 3 PM.!!!,ham
Your account has been compromised. Verify immediately. Please respond.,spam
Can you call me back when you're free? Urgent.,ham
Don't forget the meeting at 3 PM.,ham
Don't forget the meeting at 3 PM. Check now.,ham
Happy Birthday! Have a great day. Check now.,ham
Don't forget the meeting at 3 PM. Urgent.,ham
Limited time offer! Buy now and save 50%. :),spam
You have been selected for a free vacation. Claim now!!!!,spam
Thanks for your help with the project. Please respond.,ham
Your account has been compromised. Verify immediately. Please respond.,spam
Can you call me back when you're free? :),ham
Congratulations! You've won a $1000 gift card. Click here.!!!,spam
Happy Birthday! Have a great day. :),ham
Your account has been compromised. Verify immediately. Urgent.,spam
Earn money fast with this simple trick. :),spam
"Hey, are we still on for lunch today? Please respond.",ham
Can you call me back when you're free? Urgent.,ham
"Hey, are we still on for lunch today? Please respond.",ham
Don't forget the meeting at 3 PM. Check now.,ham
Your account has been compromised. Verify immediately.!!!,spam
Can you call me back when you're free? Urgent.,ham
"Hey, are we still on for lunch today?",ham
Can you call me back when you're free? Please respond.,ham
Earn money fast with this simple trick. Please respond.,spam
Your account has been compromised. Verify immediately. Urgent.,spam
Your account has been compromised. Verify immediately. :),spam
Happy Birthday! Have a great day.!!!,ham
"Hey, are we still on for lunch today?",ham
Happy Birthday! Have a great day. Check now.,ham
Limited time offer! Buy now and save 50%. Urgent.,spam
Thanks for your help with the project. :),ham
Earn money fast with this simple trick. Urgent.,spam
Don't forget the meeting at 3 PM. Check now.,ham
Your account has been compromised. Verify immediately. :),spam
Can you call me back when you're free? Check now.,ham
Limited time offer! Buy now and save 50%. Check now.,spam
Earn money fast with this simple trick.,spam
Your account has been compromised. Verify immediately.,spam
Happy Birthday! Have a great day.!!!,ham
Earn money fast with this simple trick. Please respond.,spam
"Hey, are we still on for lunch today?",ham
Happy Birthday! Have a great day. Please respond.,ham
Don't forget the meeting at 3 PM.,ham
Happy Birthday! Have a great day. :),ham
Limited time offer! Buy now and save 50%.!!!,spam
"Hey, are we still on for lunch today? Check now.",ham
Thanks for your help with the project.!!!,ham
You have been selected for a free vacation. Claim now!!!!,spam
Happy Birthday! Have a great day. Urgent.,ham
Can you call me back when you're free? Check now.,ham
Thanks for your help with the project.,ham
"Hey, are we still on for lunch today? Please respond.",ham
You have been selected for a free vacation. Claim now!!!!,spam
Can you call me back when you're free? Check now.,ham
Your account has been compromised. Verify immediately.,spam
Can you call me back when you're free?,ham
Your account has been compromised. Verify immediately. Urgent.,spam
Thanks for your help with the project.,ham
Congratulations! You've won a $1000 gift card. Click here. Check now.,spam
Can you call me back when you're free? Check now.,ham
Congratulations! You've won a $1000 gift card. Click here. Urgent.,spam
Don't forget the meeting at 3 PM. :),ham
Limited time offer! Buy now and save 50%.!!!,spam
Your account has been compromised. Verify immediately. Check now.,spam
Happy Birthday! Have a great day. Please respond.,ham
Can you call me back when you're free? :),ham
Can you call me back when you're free? Urgent.,ham
